nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
      4010, 6.825713451E-03,-1.084423535E-01, 1.313570755E-02,-1.202537438E-04
      4011, 6.336306309E-03, 1.014373047E-01, 6.189001081E-03,-2.886363573E-04
      4012, 1.269038657E-02, 1.008431357E-01, 5.687536971E-03,-6.121768715E-04
      4013, 1.897901147E-02, 9.984964929E-02, 5.139554955E-03,-8.692265114E-04
      4014, 2.520036550E-02, 9.846642547E-02, 4.582565234E-03,-1.061904140E-03
      4015, 3.133632262E-02, 9.669151743E-02, 4.017863306E-03,-1.188404822E-03
      4016, 3.735289635E-02, 9.452929871E-02, 3.452976955E-03,-1.250048990E-03
      4017, 4.320992046E-02, 9.199864735E-02, 2.910180503E-03,-1.253638557E-03
      4018, 4.890153329E-02, 8.910192876E-02, 2.396772784E-03,-1.205008833E-03
      4019, 5.438585022E-02, 8.586657062E-02, 1.932437346E-03,-1.116954838E-03
      4020, 5.968596562E-02, 8.227756611E-02, 1.516496660E-03,-9.963298468E-04
      4021, 6.475212984E-02, 7.834928366E-02, 1.142836932E-03,-8.454553701E-04
      4022, 6.953885192E-02, 7.413218286E-02, 8.251523295E-04,-6.800048971E-04
      4023, 7.407001992E-02, 6.960890902E-02, 5.600733698E-04,-5.070092513E-04
      4024, 7.830165404E-02, 6.480772594E-02, 3.435140127E-04,-3.321000587E-04
      4025, 8.221467585E-02, 5.976817142E-02, 1.763530220E-04,-1.654599740E-04
      4026, 8.582051097E-02, 5.446701440E-02, 5.134450832E-05,-1.056551246E-05
      4027, 8.907014754E-02, 4.896175520E-02,-3.572490516E-05, 1.255607077E-04
      4028, 9.196107937E-02, 4.328550887E-02,-8.830853352E-05, 2.388199613E-04
      4029, 9.449875950E-02, 3.742932617E-02,-1.131876237E-04, 3.278547386E-04
      4030, 9.666264751E-02, 3.141798800E-02,-1.169352991E-04, 3.907133280E-04
      4031, 9.843946246E-02, 2.529648552E-02,-1.057039340E-04, 4.294193837E-04
      4032, 9.983201066E-02, 1.908151751E-02,-8.562886182E-05, 4.457718728E-04
      4033, 1.008359520E-01, 1.277540108E-02,-6.020000819E-05, 4.400223841E-04
      4034, 1.014402927E-01, 6.413136433E-03,-3.352282143E-05, 4.163426088E-04
      4035, 1.016429276E-01, 2.450402163E-05,-9.597120823E-06, 3.783249291E-04
      4036, 1.014433738E-01,-6.364248272E-03, 1.009991216E-05, 3.301682851E-04
      4037, 1.008421076E-01,-1.272680928E-02, 2.467205457E-05, 2.788639209E-04
      4038, 9.984121204E-02,-1.903349112E-02, 3.363469431E-05, 2.294181957E-04
      4039, 9.845157953E-02,-2.524927237E-02, 3.832006401E-05, 1.841448689E-04
      4040, 9.667772999E-02,-3.137145455E-02, 4.128542698E-05, 1.473754474E-04
      4041, 9.451678442E-02,-3.738383300E-02, 4.484461290E-05, 1.226772228E-04
      4042, 9.198187290E-02,-4.324135732E-02, 5.168846355E-05, 1.105571180E-04
      4043, 8.909362104E-02,-4.891897820E-02, 6.549132842E-05, 1.124802758E-04
      4044, 8.584671635E-02,-5.442566875E-02, 8.964442531E-05, 1.282145586E-04
      4045, 8.224345696E-02,-5.972861281E-02, 1.269261364E-04, 1.558918969E-04
      4046, 7.833272918E-02,-6.477014499E-02, 1.807852740E-04, 1.945060455E-04
      4047, 7.410354695E-02,-6.957320824E-02, 2.544429596E-04, 2.425220973E-04
      4048, 6.957445670E-02,-7.409880646E-02, 3.473185756E-04, 2.942356859E-04
      4049, 6.478972350E-02,-7.831817427E-02, 4.621072543E-04, 3.470715211E-04
      4050, 5.972555051E-02,-8.224885816E-02, 6.008957186E-04, 3.980879778E-04
      4051, 5.442698025E-02,-8.584056838E-02, 7.586203126E-04, 4.403968587E-04
      4052, 4.894408085E-02,-8.907858159E-02, 9.390083608E-04, 4.727727030E-04
      4053, 4.325382688E-02,-9.197800160E-02, 1.144018423E-03, 4.923279168E-04
      4054, 3.739808990E-02,-9.451141415E-02, 1.368461568E-03, 4.936695029E-04
